1001, 2223468, 1, 0
2001, 2201145, 1, 0
3000, 2218595, 1, 0
4002, 2217879, 1, 0
5001, 2218771, 1, 0
6001, 2214313, 1, 0
7002, 2183977, 1, 0
8000, 2186953, 1, 0
9000, 2201250, 1, 0
10000, 2189973, 1, 0
11000, 2211046, 1, 0
12000, 2196445, 1, 0
13001, 2184271, 1, 0
14001, 2185592, 1, 0
15001, 2200910, 1, 0
16001, 2199605, 1, 0
17001, 2201569, 1, 0
18001, 2191621, 1, 0
19002, 2202182, 1, 0
20001, 2203770, 1, 0
21000, 2219766, 1, 0
22000, 2208515, 1, 0
23001, 2219217, 1, 0
24000, 2213356, 1, 0
25001, 2200786, 1, 0
26000, 2185750, 1, 0
27002, 2184115, 1, 0
28000, 2183832, 1, 0
29001, 2183226, 1, 0
30000, 2183188, 1, 0
31002, 2185307, 1, 0
32001, 2184542, 1, 0
33000, 2184796, 1, 0
34001, 2184150, 1, 0
35000, 2184397, 1, 0
36000, 2184896, 1, 0
37000, 2206360, 1, 0
38001, 2217390, 1, 0
39001, 2214220, 1, 0
40001, 2181808, 1, 0
41001, 2164673, 1, 0
42001, 2204827, 1, 0
43001, 2220181, 1, 0
44000, 2212836, 1, 0
45001, 2218933, 1, 0
46001, 2219900, 1, 0
47002, 2216101, 1, 0
48001, 2209928, 1, 0
49001, 2189450, 1, 0
50000, 2175013, 1, 0
51000, 2182087, 1, 0
52002, 2184873, 1, 0
53001, 2185190, 1, 0
54001, 2186142, 1, 0
55001, 2211434, 1, 0
56001, 2220384, 1, 0
57001, 2218702, 1, 0
58001, 2220421, 1, 0
59001, 2210661, 1, 0
60000, 2198923, 1, 0
