1000, 517296, 0, 0
2001, 445466, 0, 0
3000, 512704, 0, 0
4000, 504048, 0, 0
5000, 486596, 0, 0
6000, 492264, 0, 0
7000, 509504, 0, 0
8000, 521760, 0, 0
9000, 524124, 0, 0
10000, 494400, 0, 0
11000, 526796, 0, 0
12000, 445792, 0, 0
13000, 510144, 0, 0
14000, 499732, 0, 0
15000, 472436, 0, 0
16000, 467424, 0, 0
17000, 508124, 0, 0
18000, 521552, 0, 0
19000, 501000, 0, 0
20000, 490836, 0, 0
21000, 426104, 0, 0
22000, 491280, 0, 0
23000, 493468, 0, 0
24000, 476912, 0, 0
25000, 504832, 0, 0
26000, 454300, 0, 0
27000, 509464, 0, 0
28000, 515028, 0, 0
29000, 518232, 0, 0
30000, 513624, 0, 0
31000, 508468, 0, 0
32000, 479228, 0, 0
33000, 513776, 0, 0
34000, 502220, 0, 0
35000, 477972, 0, 0
36000, 507348, 0, 0
37000, 503432, 0, 0
38000, 516640, 0, 0
39000, 514092, 0, 0
40000, 511004, 0, 0
41000, 513872, 0, 0
42000, 513724, 0, 0
43000, 504448, 0, 0
44000, 509176, 0, 0
45000, 516472, 0, 0
46000, 517240, 0, 0
47000, 513616, 0, 0
48000, 520428, 0, 0
49000, 501508, 0, 0
50000, 519500, 0, 0
51000, 515192, 0, 0
52000, 465484, 0, 0
53000, 514888, 0, 0
54000, 512276, 0, 0
55000, 517220, 0, 0
56000, 479604, 0, 0
57000, 515420, 0, 0
58000, 514964, 0, 0
59000, 517460, 0, 0
1000, 571744, 0, 0
2000, 567096, 0, 0
3000, 565828, 0, 0
4000, 568700, 0, 0
5000, 568668, 0, 0
6000, 563096, 0, 0
7000, 572144, 0, 0
8001, 567600, 0, 0
9000, 563800, 0, 0
10000, 568416, 0, 0
11000, 567772, 0, 0
12000, 569316, 0, 0
13000, 566280, 0, 0
14000, 556616, 0, 0
15000, 560240, 0, 0
16000, 562516, 0, 0
17000, 578432, 0, 0
18000, 572524, 0, 0
19000, 571420, 0, 0
20000, 576136, 0, 0
21000, 577388, 0, 0
22000, 580196, 0, 0
23001, 578149, 0, 0
24000, 576156, 0, 0
25000, 571600, 0, 0
26000, 574924, 0, 0
27000, 578524, 0, 0
28000, 570728, 0, 0
29000, 566608, 0, 0
30000, 572836, 0, 0
31000, 576200, 0, 0
32000, 575888, 0, 0
33000, 567172, 0, 0
34000, 571068, 0, 0
35001, 568223, 0, 0
36000, 566256, 0, 0
37000, 575756, 0, 0
38000, 570572, 0, 0
39000, 569240, 0, 0
40000, 573192, 0, 0
41000, 572948, 0, 0
42000, 576348, 0, 0
43000, 569440, 0, 0
44000, 572716, 0, 0
45000, 572596, 0, 0
46000, 571356, 0, 0
47000, 573276, 0, 0
48000, 568808, 0, 0
49000, 571148, 0, 0
50000, 572092, 0, 0
51000, 574776, 0, 0
52001, 571752, 0, 0
53000, 571008, 0, 0
54000, 570844, 0, 0
55000, 567324, 0, 0
56000, 568540, 0, 0
57000, 568648, 0, 0
58000, 568224, 0, 0
59000, 567592, 0, 0
